As At Month,Visa Type,Occupation,EOI Status,Points,Nominated State,Count EOIs
02/2026,189PTS Points-Tested Stream,241411 Secondary School Teacher,HOLD,85,N/A,<20
02/2026,189PTS Points-Tested Stream,241411 Secondary School Teacher,CLOSED,30,N/A,<20
02/2026,189PTS Points-Tested Stream,241411 Secondary School Teacher,CLOSED,35,N/A,<20
02/2026,189PTS Points-Tested Stream,241411 Secondary School Teacher,CLOSED,40,N/A,<20
02/2026,189PTS Points-Tested Stream,241411 Secondary School Teacher,CLOSED,45,N/A,<20
02/2026,189PTS Points-Tested Stream,241411 Secondary School Teacher,CLOSED,50,N/A,22
02/2026,189PTS Points-Tested Stream,241411 Secondary School Teacher,CLOSED,55,N/A,41
02/2026,189PTS Points-Tested Stream,241411 Secondary School Teacher,CLOSED,60,N/A,86
02/2026,189PTS Points-Tested Stream,241411 Secondary School Teacher,CLOSED,65,N/A,283
02/2026,189PTS Points-Tested Stream,241411 Secondary School Teacher,CLOSED,70,N/A,314
02/2026,189PTS Points-Tested Stream,241411 Secondary School Teacher,CLOSED,75,N/A,348
02/2026,189PTS Points-Tested Stream,241411 Secondary School Teacher,CLOSED,80,N/A,303
02/2026,189PTS Points-Tested Stream,241411 Secondary School Teacher,CLOSED,85,N/A,157
02/2026,189PTS Points-Tested Stream,241411 Secondary School Teacher,CLOSED,90,N/A,22
02/2026,189PTS Points-Tested Stream,241411 Secondary School Teacher,CLOSED,95,N/A,<20
02/2026,189PTS Points-Tested Stream,241511 Special Needs Teacher,SUBMITTED,40,N/A,<20
02/2026,189PTS Points-Tested Stream,241511 Special Needs Teacher,SUBMITTED,55,N/A,<20
02/2026,189PTS Points-Tested Stream,241511 Special Needs Teacher,SUBMITTED,60,N/A,<20
02/2026,189PTS Points-Tested Stream,241511 Special Needs Teacher,SUBMITTED,65,N/A,<20
02/2026,189PTS Points-Tested Stream,241511 Special Needs Teacher,SUBMITTED,70,N/A,<20
02/2026,189PTS Points-Tested Stream,241511 Special Needs Teacher,SUBMITTED,75,N/A,<20
02/2026,189PTS Points-Tested Stream,241511 Special Needs Teacher,SUBMITTED,80,N/A,<20
02/2026,189PTS Points-Tested Stream,241511 Special Needs Teacher,SUBMITTED,85,N/A,<20
02/2026,189PTS Points-Tested Stream,241511 Special Needs Teacher,LODGED,60,N/A,<20
02/2026,189PTS Points-Tested Stream,241511 Special Needs Teacher,LODGED,70,N/A,<20
02/2026,189PTS Points-Tested Stream,241511 Special Needs Teacher,LODGED,75,N/A,<20
02/2026,189PTS Points-Tested Stream,241511 Special Needs Teacher,LODGED,80,N/A,<20
02/2026,189PTS Points-Tested Stream,241511 Special Needs Teacher,INVITED,70,N/A,<20
02/2026,189PTS Points-Tested Stream,241511 Special Needs Teacher,INVITED,80,N/A,<20
02/2026,189PTS Points-Tested Stream,241511 Special Needs Teacher,HOLD,75,N/A,<20
02/2026,189PTS Points-Tested Stream,241511 Special Needs Teacher,CLOSED,50,N/A,<20
02/2026,189PTS Points-Tested Stream,241511 Special Needs Teacher,CLOSED,55,N/A,<20
02/2026,189PTS Points-Tested Stream,241511 Special Needs Teacher,CLOSED,60,N/A,<20
02/2026,189PTS Points-Tested Stream,241511 Special Needs Teacher,CLOSED,65,N/A,<20
02/2026,189PTS Points-Tested Stream,241511 Special Needs Teacher,CLOSED,70,N/A,<20
02/2026,189PTS Points-Tested Stream,241511 Special Needs Teacher,CLOSED,75,N/A,<20
02/2026,189PTS Points-Tested Stream,241511 Special Needs Teacher,CLOSED,80,N/A,<20
02/2026,189PTS Points-Tested Stream,241511 Special Needs Teacher,CLOSED,85,N/A,<20
02/2026,189PTS Points-Tested Stream,241511 Special Needs Teacher,CLOSED,95,N/A,<20
02/2026,189PTS Points-Tested Stream,241511 Special Needs Teacher,CLOSED,100,N/A,<20
02/2026,189PTS Points-Tested Stream,241512 Teacher of the Hearing Impaired,SUBMITTED,75,N/A,<20
02/2026,189PTS Points-Tested Stream,241512 Teacher of the Hearing Impaired,CLOSED,70,N/A,<20
02/2026,189PTS Points-Tested Stream,241513 Teacher of the Sight Impaired,SUBMITTED,75,N/A,<20
02/2026,189PTS Points-Tested Stream,241599 Special Education Teachers nec,SUBMITTED,55,N/A,<20
02/2026,189PTS Points-Tested Stream,241599 Special Education Teachers nec,SUBMITTED,60,N/A,<20
02/2026,189PTS Points-Tested Stream,241599 Special Education Teachers nec,SUBMITTED,65,N/A,<20
02/2026,189PTS Points-Tested Stream,241599 Special Education Teachers nec,SUBMITTED,70,N/A,<20
02/2026,189PTS Points-Tested Stream,241599 Special Education Teachers nec,SUBMITTED,75,N/A,<20
02/2026,189PTS Points-Tested Stream,241599 Special Education Teachers nec,SUBMITTED,85,N/A,<20
02/2026,189PTS Points-Tested Stream,241599 Special Education Teachers nec,SUBMITTED,90,N/A,<20
02/2026,189PTS Points-Tested Stream,241599 Special Education Teachers nec,LODGED,65,N/A,<20
02/2026,189PTS Points-Tested Stream,241599 Special Education Teachers nec,CLOSED,30,N/A,<20
02/2026,189PTS Points-Tested Stream,241599 Special Education Teachers nec,CLOSED,65,N/A,<20
02/2026,189PTS Points-Tested Stream,241599 Special Education Teachers nec,CLOSED,70,N/A,<20
02/2026,189PTS Points-Tested Stream,241599 Special Education Teachers nec,CLOSED,75,N/A,<20
02/2026,189PTS Points-Tested Stream,241599 Special Education Teachers nec,CLOSED,80,N/A,<20
02/2026,189PTS Points-Tested Stream,241599 Special Education Teachers nec,CLOSED,85,N/A,<20
