As At Month,Visa Type,Occupation,EOI Status,Points,Nominated State,Count EOIs
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,CLOSED,55,N/A,146
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,CLOSED,60,N/A,365
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,CLOSED,65,N/A,997
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,CLOSED,70,N/A,1191
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,CLOSED,75,N/A,1493
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,CLOSED,80,N/A,1449
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,CLOSED,85,N/A,1274
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,CLOSED,90,N/A,1053
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,CLOSED,95,N/A,609
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,CLOSED,100,N/A,208
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,CLOSED,105,N/A,<20
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,CLOSED,110,N/A,<20
02/2026,189PTS Points-Tested Stream,261111 ICT Business Analyst,CLOSED,115,N/A,<20
02/2026,189PTS Points-Tested Stream,261112 Systems Analyst,SUBMITTED,40,N/A,<20
02/2026,189PTS Points-Tested Stream,261112 Systems Analyst,SUBMITTED,45,N/A,<20
02/2026,189PTS Points-Tested Stream,261112 Systems Analyst,SUBMITTED,50,N/A,20
02/2026,189PTS Points-Tested Stream,261112 Systems Analyst,SUBMITTED,55,N/A,59
02/2026,189PTS Points-Tested Stream,261112 Systems Analyst,SUBMITTED,60,N/A,135
02/2026,189PTS Points-Tested Stream,261112 Systems Analyst,SUBMITTED,65,N/A,496
02/2026,189PTS Points-Tested Stream,261112 Systems Analyst,SUBMITTED,70,N/A,651
02/2026,189PTS Points-Tested Stream,261112 Systems Analyst,SUBMITTED,75,N/A,814
02/2026,189PTS Points-Tested Stream,261112 Systems Analyst,SUBMITTED,80,N/A,796
02/2026,189PTS Points-Tested Stream,261112 Systems Analyst,SUBMITTED,85,N/A,732
02/2026,189PTS Points-Tested Stream,261112 Systems Analyst,SUBMITTED,90,N/A,832
02/2026,189PTS Points-Tested Stream,261112 Systems Analyst,SUBMITTED,95,N/A,413
02/2026,189PTS Points-Tested Stream,261112 Systems Analyst,SUBMITTED,100,N/A,123
02/2026,189PTS Points-Tested Stream,261112 Systems Analyst,SUBMITTED,105,N/A,<20
02/2026,189PTS Points-Tested Stream,261112 Systems Analyst,LODGED,60,N/A,<20
02/2026,189PTS Points-Tested Stream,261112 Systems Analyst,LODGED,70,N/A,<20
02/2026,189PTS Points-Tested Stream,261112 Systems Analyst,LODGED,75,N/A,<20
02/2026,189PTS Points-Tested Stream,261112 Systems Analyst,LODGED,80,N/A,<20
02/2026,189PTS Points-Tested Stream,261112 Systems Analyst,LODGED,85,N/A,<20
02/2026,189PTS Points-Tested Stream,261112 Systems Analyst,LODGED,90,N/A,<20
02/2026,189PTS Points-Tested Stream,261112 Systems Analyst,LODGED,95,N/A,<20
02/2026,189PTS Points-Tested Stream,261112 Systems Analyst,INVITED,75,N/A,<20
02/2026,189PTS Points-Tested Stream,261112 Systems Analyst,INVITED,95,N/A,<20
02/2026,189PTS Points-Tested Stream,261112 Systems Analyst,HOLD,55,N/A,<20
02/2026,189PTS Points-Tested Stream,261112 Systems Analyst,HOLD,60,N/A,<20
02/2026,189PTS Points-Tested Stream,261112 Systems Analyst,HOLD,65,N/A,<20
02/2026,189PTS Points-Tested Stream,261112 Systems Analyst,HOLD,70,N/A,<20
02/2026,189PTS Points-Tested Stream,261112 Systems Analyst,HOLD,75,N/A,<20
02/2026,189PTS Points-Tested Stream,261112 Systems Analyst,HOLD,80,N/A,<20
02/2026,189PTS Points-Tested Stream,261112 Systems Analyst,HOLD,85,N/A,<20
02/2026,189PTS Points-Tested Stream,261112 Systems Analyst,HOLD,90,N/A,<20
02/2026,189PTS Points-Tested Stream,261112 Systems Analyst,HOLD,95,N/A,<20
02/2026,189PTS Points-Tested Stream,261112 Systems Analyst,HOLD,100,N/A,<20
02/2026,189PTS Points-Tested Stream,261112 Systems Analyst,HOLD,105,N/A,<20
02/2026,189PTS Points-Tested Stream,261112 Systems Analyst,CLOSED,40,N/A,<20
02/2026,189PTS Points-Tested Stream,261112 Systems Analyst,CLOSED,45,N/A,<20
02/2026,189PTS Points-Tested Stream,261112 Systems Analyst,CLOSED,50,N/A,<20
02/2026,189PTS Points-Tested Stream,261112 Systems Analyst,CLOSED,55,N/A,61
02/2026,189PTS Points-Tested Stream,261112 Systems Analyst,CLOSED,60,N/A,127
02/2026,189PTS Points-Tested Stream,261112 Systems Analyst,CLOSED,65,N/A,367
02/2026,189PTS Points-Tested Stream,261112 Systems Analyst,CLOSED,70,N/A,453
02/2026,189PTS Points-Tested Stream,261112 Systems Analyst,CLOSED,75,N/A,578
02/2026,189PTS Points-Tested Stream,261112 Systems Analyst,CLOSED,80,N/A,582
02/2026,189PTS Points-Tested Stream,261112 Systems Analyst,CLOSED,85,N/A,493
02/2026,189PTS Points-Tested Stream,261112 Systems Analyst,CLOSED,90,N/A,445
02/2026,189PTS Points-Tested Stream,261112 Systems Analyst,CLOSED,95,N/A,181
02/2026,189PTS Points-Tested Stream,261112 Systems Analyst,CLOSED,100,N/A,72
02/2026,189PTS Points-Tested Stream,261112 Systems Analyst,CLOSED,105,N/A,<20
02/2026,189PTS Points-Tested Stream,261112 Systems Analyst,CLOSED,110,N/A,<20
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,SUBMITTED,30,N/A,<20
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,SUBMITTED,40,N/A,<20
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,SUBMITTED,45,N/A,<20
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,SUBMITTED,50,N/A,25
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,SUBMITTED,55,N/A,48
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,SUBMITTED,60,N/A,141
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,SUBMITTED,65,N/A,409
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,SUBMITTED,70,N/A,486
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,SUBMITTED,75,N/A,700
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,SUBMITTED,80,N/A,798
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,SUBMITTED,85,N/A,792
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,SUBMITTED,90,N/A,1015
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,SUBMITTED,95,N/A,482
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,SUBMITTED,100,N/A,127
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,SUBMITTED,105,N/A,<20
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,SUBMITTED,110,N/A,<20
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,LODGED,60,N/A,<20
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,LODGED,65,N/A,<20
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,LODGED,70,N/A,<20
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,LODGED,75,N/A,<20
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,LODGED,80,N/A,<20
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,LODGED,85,N/A,<20
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,LODGED,90,N/A,<20
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,LODGED,95,N/A,<20
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,INVITED,80,N/A,<20
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,INVITED,85,N/A,<20
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,INVITED,90,N/A,<20
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,INVITED,95,N/A,<20
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,HOLD,45,N/A,<20
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,HOLD,55,N/A,<20
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,HOLD,60,N/A,<20
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,HOLD,65,N/A,<20
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,HOLD,70,N/A,<20
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,HOLD,75,N/A,<20
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,HOLD,80,N/A,<20
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,HOLD,85,N/A,<20
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,HOLD,90,N/A,<20
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,HOLD,95,N/A,<20
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,HOLD,100,N/A,<20
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,HOLD,105,N/A,<20
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,CLOSED,25,N/A,<20
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,CLOSED,35,N/A,<20
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,CLOSED,40,N/A,<20
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,CLOSED,45,N/A,<20
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,CLOSED,50,N/A,<20
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,CLOSED,55,N/A,39
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,CLOSED,60,N/A,63
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,CLOSED,65,N/A,132
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,CLOSED,70,N/A,222
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,CLOSED,75,N/A,293
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,CLOSED,80,N/A,300
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,CLOSED,85,N/A,298
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,CLOSED,90,N/A,403
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,CLOSED,95,N/A,222
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,CLOSED,100,N/A,28
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,CLOSED,105,N/A,<20
02/2026,189PTS Points-Tested Stream,261311 Analyst Programmer,CLOSED,115,N/A,<20
